Date,Open,High,Low,Close,Adj Close,Volume,Day
"Sep 18, 2024",78.64,79.41,78.28,79,79,"12,482,119",1259
"Sep 17, 2024",79.76,80.26,78.26,78.6,78.6,"21,065,900",1258
"Sep 16, 2024",80.84,81.02,80.14,80.56,80.56,"15,346,400",1257
"Sep 13, 2024",79.82,80.69,79.69,80.6,80.6,"12,994,100",1256
"Sep 12, 2024",78.99,79.91,78.62,79.66,79.66,"14,884,900",1255
"Sep 11, 2024",78.38,78.92,77.57,78.84,78.84,"19,518,800",1254
"Sep 10, 2024",77.35,78.9,77.28,78.81,78.81,"17,686,300",1253
"Sep 9, 2024",76.85,77.47,76.49,77.34,77.34,"22,260,200",1252
"Sep 6, 2024",76.9,77.32,76.3,76.64,76.64,"14,548,600",1251
"Sep 5, 2024",77.25,77.45,76.39,76.96,76.96,"13,082,900",1250
"Sep 4, 2024",77.33,77.48,76.73,77.24,77.24,"18,442,800",1249
"Sep 3, 2024",77.33,77.81,76.8,77.17,77.17,"22,666,100",1248
"Aug 30, 2024",76.44,77.47,76.22,77.23,77.23,"23,230,000",1247
"Aug 29, 2024",75.99,76.47,75.67,76.42,76.42,"11,856,800",1246
"Aug 28, 2024",76.28,76.43,75.81,76.08,76.08,"9,814,300",1245
"Aug 27, 2024",76.45,76.45,75.77,76.13,76.13,"11,557,800",1244
"Aug 26, 2024",75.9,76.21,75.57,76.03,76.03,"9,508,200",1243
"Aug 23, 2024",75.6,75.81,75.01,75.7,75.7,"12,299,100",1242
"Aug 22, 2024",75.37,76.22,75.15,75.58,75.58,"16,511,100",1241
"Aug 21, 2024",75.3,75.58,74.59,75.24,75.24,"14,832,000",1240
"Aug 20, 2024",73.75,74.75,73.72,74.54,74.54,"14,434,000",1239
"Aug 19, 2024",73.39,73.98,73.34,73.72,73.72,"13,709,300",1238
"Aug 16, 2024",72.7,73.61,72.52,73.45,73.45,"19,872,100",1237
"Aug 15, 2024",74.12,74.44,72.78,73.18,72.97,"49,567,500",1236
"Aug 14, 2024",67.92,68.79,67.85,68.66,68.46,"22,928,600",1235
