Date,Day of the Week,Amount,Description,Category ,Method of Payment,Need/Want/Saving
8.23.24,Friday,777.79,pay check,Financial goals and Savings,Debit,Savings
8.23.24,Friday,6.99,hygiene,Entertainment and Recreation,Debit,Need
8.23.24,Friday,5.15,coffee,Food,Debit,Want
8.25.24,Sunday,29.91,coins,Financial goals and Savings,Cash,Savings
"8.26,24",Monday,8.22,grocery,Food,Debit,Need
8.30.24,Friday,9.45,snacks,Food,Debit,Want
8.30.24,Friday,13.19,food,Food,Debit,Want
8.31.24,Saturday,19.17,food,Food,Debit,Want
9.1.24,Sunday,35.26,gas,Travel,Debit,Need
9.1.24,Sunday,6.00,food,Food,Debit,Want
9.3.24,Tuesday,23.14,food,Food,Debit,Want
